Date,Title,Description,Duration,Links,Places
2025-03-08,Is there really $500bn of Rare Earths in Ukraine?,"As part of the fast-moving argument over US military support to Ukraine, the US demanded $500bn worth of access to what was variously reported as Ukraine’s rare earths or rare metals or rare minerals. But is there that amount of minerals in the ground?
Presenter: Tim HarfordProducer and Editor: Richard VadonStudio Manager: James BeardProduction Co-ordinator: Brenda Brown",9 minutes,https://www.bbc.co.uk/programmes/p0kwvfrl,"['US', 'Ukraine', 'US', 'Ukraine']"
2025-03-05,"Defence Spending, Rare Earths and Trunk Truths","Has the US really sent Ukraine $350 billion for its war effort? Is a $500billion cut of Ukraine’s rare earth minerals a good deal? How will the UK fund the governments ambitions to raise defence spending to 3%? But most important of all - how many muscles are in an elephant’s trunk?
Presenter: Tim HarfordSeries Producer: Charlotte McDonaldReporter: Lizzy McNeillProducers: Nathan Gower and Josh McMinnSound Mix: James BeardEditor: Richard VadonProduction Co-Ordinator: Brenda Brown",29 minutes,https://www.bbc.co.uk/programmes/p0kw26dl,"['US', 'Ukraine', 'Ukraine', 'UK', 'Charlotte']"
2025-03-01,Has the US really given Ukraine more aid than Europe?,"As negotiations to end the Ukraine war rumble on, Donald Trump seems equally interested in talking about the past, repeatedly claiming that the US has given much more aid to Ukraine than Europe has, and that Europe’s aid took the form of a loan that they’ll be getting back.
Emmanuel Macron has publicly contradicted the US President - so who’s correct?
Nathan Gower speaks to Taro Nishikawa, project lead at the Kiel Institute’s Ukraine Support Tracker to get the true picture.
Presenter / Producer: Nathan Gower Editor: Richard Vadon Sound Engineer: James Beard",9 minutes,https://www.bbc.co.uk/programmes/p0kvbp3y,"['US', 'Ukraine', 'Europe', 'Europe', 'US']"
2025-02-22,Are 150 year olds getting social security payments?,"Last week Elon Musk revealed that he had been through the Social Security Agencies database and found millions of people aged over 100.
The vast majority of these people are dead, but their accounts and social security numbers remain live.
Elon claimed that he had uncovered ‘the biggest fraud ever’ prompting some news outlets to speculate that billions of dollars might be being paid to these dead people every month.
But is it true? We look at whether this is new information and what the data actually tells us.
Produced and presented by: Lizzy McNeillSeries producer: Tom CollsEditor: Richard VadonProduction Co-ordinator: Brenda BrownSound Mix: James Beard",9 minutes,https://www.bbc.co.uk/programmes/p0kssmgb,[]
2025-02-15,Has the US sent $50 million worth of condoms to Gaza?,"On the 25th January, the US Press Secretary announced that in their bid to stop ‘fraud’ and waste DOGE had cancelled $50 million worth of condoms being sent to Gaza by the United States Agency for International Development (aka USAID).
President Trump later repeated this claim, adding on that Hamas were using said condoms to make bombs to fire at Israel.
On the 7th of February the USAID website was taken down.
We fact check this claim and find out how much of the US budget was spent on USAID programmes.
Presenter: Charlotte McDonaldProducer: Lizzy McNeillResearch: Josh McMinnProduction Co-ordinator: Brenda BrownSound Mix: David CracklesEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0krbdgz,"['US', 'Gaza', 'the United States Agency for International Development', 'Israel', 'US', 'Charlotte']"
2025-02-08,Are black babies in the US really more likely to die under the care of white doctors?,"Babies born in the US to Black Hispanic or African American mothers are more likely to die than any other ethnic group in America.
That is a fact.
But the reason why this happens is unclear. In 2020 a study came out that claimed that black babies attended by white doctors after birth were twice as likely to die than white babies attended by white doctors.
People jumped to the conclusion that the race of the doctor was leading to the different outcomes. But when you delve into the numbers, a very different picture starts to emerge.
Presenter: Lizzy McNeillSeries producer: Tom CollsProduction coordinator: Brenda BrownSound mix: Steve Greenwood Editor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0kpvkvr,"['US', 'Black Hispanic', 'African American', 'America']"
2025-02-01,Are quantum computers already super-powerful?,"Google claim their latest quantum computer chip is able to process something in five minutes it would take a normal computer 10 septillion years to figure out.
As this is a massive amount longer than the entire history of the known universe, that seems to suggest the chip is extremely powerful.
But when you understand what’s going on, the claim doesn’t seem quite so impressive. Dr Peter Leek, a quantum computer scientist from Oxford University, explains the key context.
Presenter: Charlotte McDonaldProducer: Tom CollsProduction co-ordinator: Brenda BrownSound mix: Andrew GarrattEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0kncxv4,['Charlotte']
2025-01-25,Did Trump make billions with his meme-coin?,"Just before being inaugurated as US president for the second time, Donald Trump launched something called a “meme-coin”.
This is a bespoke cryptocurrency token featuring a picture of Donald Trump. A billion of them may eventually be created.
Newspaper headlines claimed that the Trump meme-coin had made the president billions of dollars wealthier. But it is far from clear that this is the case.
Presenter: Charlotte McDonaldProducer: Lizzy McNeillSeries producer: Tom CollsProduction co-ordinator: Brenda BrownSound mix: Mike Etherden Editor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0klwmqy,"['US', 'Charlotte']"
2025-01-18,Can redheads handle 25% more pain than brunettes?,"What has the colour of your hair got to do with your capacity to withstand pain?
We investigate the claim, which regularly circulates on social media, that natural redheads are 25% tougher than their brunette peers.
Pain expert Jeff Mogil explains how it all comes down to something called MC1R.
Presenter: Charlotte McDonaldProducer: Lizzy McNeillSeries Producer: Tom CollsEditor: Richard VadonProduction Co-ordinator: Katie Morrison",9 minutes,https://www.bbc.co.uk/programmes/p0kkfqyx,['Charlotte']
2025-01-11,Do 79% of Swedish asylum seekers go on holiday to the country they fled from?,"The claim that 79% of asylum seekers in Sweden go on holiday in their home country has been repeated regularly on social media. It’s used to argue that recent refugees are being disingenuous about the danger they face in the country they have fled from. But when you look at the survey the claim is based on, you see the stat in a very different way. We speak to Hjalmar Strid, who ran the survey for polling company Novus, and Tino Sanandaji from Bulletin, the online news site which published it.
Presenter: Charlotte McDonaldProducer: Tom CollsProduction co-ordinator: Katie MorrisonSound Mix: Neil ChurchillEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0khx6s2,"['Sweden', 'Hjalmar', 'Strid', 'Bulletin', 'Charlotte']"
2025-01-04,Numbers of the year part 2,"We asked and you responded, this edition of ‘numbers of the year’ are from you. our loyal listeners. We scoured the inboxes to find three fascinating numbers that say something about the world we live in now and put them to our experts.Tune if you want to hear about rising global temperatures, what Taylor Swift has in common with 65 years olds and facts about fax (machines).
Contributors: Amanda Maycock, University of LeedsJennifer Dowd, University of Oxford
Presenter: Charlotte McDonaldReporter: Lizzy McNeillProducer: Vicky Baker and Lizzy McNeillSeries Producer: Tom CollsEditor: Richard VadonSound Engineer: Rod Farquhar.",9 minutes,https://www.bbc.co.uk/programmes/p0kbvc9t,['Charlotte']
2024-12-28,Numbers of the year 2024,"It’s that time of year again, the time when we ask some of our favourite statistically-inclined people for their numbers of the year. We present them to you - from falling birth rates in India to children saved by vaccines.
Contributors: RukminiS, Data for IndiaProfessor Sir David Spiegelhalter, Cambridge University, Hannah Ritchie, Our World in Data.
Presenter: Charlotte McDonaldProducers: Lizzy McNeill and Vicky BakerSeries Producer: Tom CollsEditor: Richard VadonSound Engineer: Donald McDonald and Rod Farquhar",9 minutes,https://www.bbc.co.uk/programmes/p0kbv61b,"['India', 'Charlotte']"
2024-12-21,Did Mussolini make the trains run on time?,"“Say what you like about Mussolini but he did make the trains run on time.” This phrase is the political equivalent of “every cloud has a silver lining” – but does it have any factual basis?
Mussolini’s dictatorship in Italy was full of atrocities, brutal suppression and propaganda. Did it also create a more efficient railway network?
We speak to Professor Ruth Ben-Ghiat about the truth of the claim and why the Mussolini regime wanted us to believe it.
Presenter: Lizzy McNeillProducer: Lizzy McNeillResearcher: Esme WinterbothamSeries Producer: Tom CollsEditor: Richard VadonSound Master: James BeardProduction Co-ordinator: Katie Morrison.
Image: Benito Mussolini in his train studying maps. (Photo by ullstein picture/ullstein picture via Getty Images)",9 minutes,https://www.bbc.co.uk/programmes/p0kdbhln,['Italy']
2024-12-14,How many Americans live ‘paycheck to paycheck’?,"Are most Americans barely holding their head above water when it comes to personal finances?
That’s what various US politicians and news outlets keep suggesting.
They can’t stop using a statistic about people living “paycheck to paycheck”.
But what does this really mean?
We go behind the headlines to unpick the numbers.
Contributor: Ben Krauss, journalist
Presenter: Charlotte McDonaldProducer: Vicky Baker and Lizzy McNeillSeries Producer: Tom CollsProduction co-ordinator: Katie MorrisonSound Engineer: Andrew MillsEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0kbxsjr,"['Americans', 'US', 'Charlotte']"
2024-12-07,Did one in 10 Greeks die in World War Two?,"When World War Two came to Greece, a period of terrible human suffering followed. There was a brutal battle with Italian and then Nazi forces, followed by an occupation in which thousands were executed and a terrible famine swept the nation.
There’s an often repeated number that appears to capture the brutality of this time – that 10% of the Greek population died during the war.
We investigate where this statistic comes from and whether it is true.
Presenter: Charlotte McDonaldProducer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Neil Churchill Editor: Richard Vadon",10 minutes,https://www.bbc.co.uk/programmes/p0k958zr,"['Greece', 'Italian', 'Nazi', 'Greek', 'Charlotte']"
2024-11-30,Can Elon Musk save the US Government $2 trillion?,"President Elect Donald Trump has created a new government advisory group – the Department of Government Efficiency or ‘DOGE’ - to help cut the US budget.
The world richest man, Elon Musk, will co-head the department and has pledged to cut ‘at least $2 trillion’ to ‘balance the budget’. But is this possible? We talk to Professor Linda Bilmes about what DOGE could or couldn’t do and how she balanced the budget in the 1990’s.
Presenter: Charlotte McDonaldProducer: Lizzy McNeillSeries producer: Tom Colls Production co-ordinator: Katie Morrison Sound Mix: Andrew Mills Editor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0k7vtfq,"['US', 'Charlotte']"
2024-11-23,Do fossil fuels get $7 trillion in subsidies?,"Governments around the world have promised to fight climate change. But are they also pumping an absolutely massive amount of money into subsidies for fossil fuels? In 2022, an IMF working paper estimated that global subsidies for fossil fuels totalled $7 trillion. But when you dig into that research, you find that this number might not mean what you think it does. We explain how they reached that conclusion, with the help of Angela Picciariello from the International Institute for Sustainable Development, and Nate Vernon, one of the co-authors of the IMF paper.",9 minutes,https://www.bbc.co.uk/programmes/p0k69pd1,[]
2024-11-16,Did 20 million votes really go missing in the US election?,"Just hours after Donald Trump claimed victory in the US presidential election, rumours started swirling that something was afoot. A graph went viral on social media that appeared to show there were 20 million more votes cast in 2020 than in the 2024 election. Where had these supposedly “missing” votes gone?
Conspiracy theorists on both sides of the political spectrum began shouting claims of fraud.
The answer, it turns out, is rather more straightforward.
Presenter: Charlotte McDonaldProducer: Lizzy McNeillSeries producer: Tom Colls Production co-ordinator: Katie Morrison Sound Mix: Hal Haines Editor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0k4vh6z,"['US', 'Charlotte']"
2024-11-09,Do we have enough clothes for the next six generations?,"A huge quantity of clothing is produced every year around the world. But is so much made that there are already enough tops, trousers, skirts and all the rest to clothe humanity for decades into the future?
That’s a claim that has been percolating around the internet recently, that there are already enough clothes for the next six generations.
Tim Harford and Beth Ashmead Latham explore the source of this claim and, with help from Sabina Lawreniuk from Nottingham University, find that the evidence behind it is far from persuasive.
Presenter: Tim Harford and Bethan Ashmead LathamProducer: Bethan Ashmead LathamSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound Mix: Annie GardinerEditor: Richard Vadon",10 minutes,https://www.bbc.co.uk/programmes/p0k37dhv,[]
2024-11-02,What can economics learn from sport?,"The great theories of economics seem to have great explanatory power, but the actual world is often far too complicated and messy to fully test them out.
Professor Ignacio Palacios-Huerta, an economist at the London School of Economics has an answer – sport. In the contained setting of competitive sport, he says, the rules are clear and you know who is doing what. This means, with some analysis, you can see vibrant illustrations of well-known economic theories playing out before your eyes.
Ignacio talks to Tim Harford about some of his favourite economic theories, demonstrated in action in sporting competition.
Presenter: Tim HarfordProducer: Natasha FernandesSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: John Scott Editor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0k1p3c7,[]
2024-10-30,Are older drivers more dangerous?,"Could the cut in winter fuel payments cost thousands of lives?Is it really true that criminals sentenced to three years will be out of prison in two months?Are older drivers more dangerous than young ones?Do Southeastern Railway shift 50 million leaves from their lines?
Tim Harford investigates some of the numbers in the news.
Presenter: Tim HarfordReporters: Bethan Ashmead Latham and Nathan GowerProducer: Natasha FernandesSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: James BeardEditor: Richard Vadon",28 minutes,https://www.bbc.co.uk/programmes/p0k14s1f,[]
2024-10-26,Is Trump right about violent crime in Venezuela and the US?,"On the campaign trail for the US presidency, former president Donald Trump has been saying that the US is becoming a more dangerous than Venezuela.
He also claims that the crime data for the US that the FBI collects is missing the most violent cities.
Is he right? Tim Harford investigates, with the help of Bastian Herre from Our World in Data and Jay Albanese from Virginia Commonwealth University.
Presenter: Tim HarfordProducer: Bethan Ashmead LathamSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound Mix: Annie GardinerEditor: Richard Vadon",10 minutes,https://www.bbc.co.uk/programmes/p0k06qj7,"['US', 'US', 'Venezuela', 'US', 'Data']"
2024-10-23,Do US crime statistics miss out the most violent cities?,"Was an MP wrong about the number of people who pay capital gains tax?
Why is 2% the magic number for the rate of inflation?
Donald Trump says US crime figures are fake. Are they?
How do you work out how many buffaloberries a bear eats in a day?
And we fact-check a claim about the prevalence of suicide among GPs. For information and support follow this link: https://www.bbc.co.uk/actionline
Tim Harford investigates some of the numbers in the news.
Presenter: Tim HarfordReporters: Nathan Gower and Bethan Ashmead LathamSeries Producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Rod FarquharEditor: Richard Vadon",28 minutes,https://www.bbc.co.uk/programmes/p0jzlfv1,['US']
2024-10-19,Nobel prize: Why are some countries so much richer than others?,"The question of why some countries are rich and some poor has been described as the most important question in economics.
Perhaps that is why the Royal Swedish Academy of Sciences awarded the Nobel Memorial Prize in Economics to Daron Acemoglu, Simon Johnson and James Robinson for their work on the importance of institutions in the economic fortunes of nation states.
Tim Harford explains the economic theory that underpins their award.
Presenter: Charlotte McDonaldReporter: Tim HarfordProducer: Bethan Ashmead LathamSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Giles Aspen Editor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0jypx02,['Charlotte']
2024-10-16,When are numbers like a horse at a gymkhana?,"Can we teach BBC political editor Chris Mason some new maths skills?Do 60 of the UK’s richest people pay 100% tax?Have water bills fallen in real terms since 2010?When it comes to HPV and cervical cancer, is zero a small number?
Tim Harford investigates some of the numbers in the news.
Presenter: Tim HarfordProducers: Nathan Gower and Bethan Ashmead LathamSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Sarah HockleyEditor: Richard Vadon",29 minutes,https://www.bbc.co.uk/programmes/p0jy0n43,['UK']
2024-10-12,"Uncertainty, probability and double yoked eggs","Professor Sir David Spiegelhalter is one of the great communicators of probability and uncertainty.
His new book, The Art of Uncertainty, explains how to approach uncertainty, luck, probability and ignorance.
Tim Harford talks to Sir David about double yoked eggs, the Bay of Pigs, and his top tips for politicians who want to communicate evidence and uncertainty.
Presenter: Tim HarfordSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: John ScottEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0jx6kvh,['the Bay of Pigs']
2024-10-09,Should the government target persnuffle?,"Are childhood obesity rates going down?Do 35 million birds die every year in the UK after hitting windows? How much money could the Chancellor find by changing the debt rule? And Professor Sir David Spiegelhalter contemplates the probability of his own conception.
Tim Harford investigates some of the numbers in the news, and in life.
Presenter: Tim HarfordReporter: Charlotte MacDonaldProducers: Bethan Ashmead Latham, Natasha Fernandes and Nathan GowerSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Neil ChurchillEditor: Richard Vadon",28 minutes,https://www.bbc.co.uk/programmes/p0jwdkrk,['UK']
2024-10-05,Are 672 billion pounds of corn eaten in the US every year?,"National Geographic magazine recently wrote that “people in the United States eat more than 672 billion pounds of corn per year, which breaks down to more than 2,000 pounds per person annually”.
Is this really true?
Tim Harford investigates all the things that we don’t eat, that are counted in this number.
Presenter: Tim HarfordProducer: Bethan Ashmead LathamProduction co-ordinator: Katie MorrisonSound mix: Giles AspenEditor: Richard Vadon",10 minutes,https://www.bbc.co.uk/programmes/p0jvlpb9,['the United States']
2024-10-02,How do you breed seventeen octillion rats?,"Are GPs really working less hours per week?Does Wetherspoons really pay one in every £1000 of tax in the UK?Are more people in the UK economically inactive?How long does it take two rats to produce 17 octillion rats?
Tim Harford investigates some of the numbers in the news.
Presenter: Tim HarfordReporters: Natasha Fernandes and Bethan Ashmead-LathamProducer: Nathan GowerSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Sarah HockleyEditor: Richard Vadon",29 minutes,https://www.bbc.co.uk/programmes/p0jtyjgz,['UK']
2024-09-28,The puzzles you’re meant to get wrong,"Why do some puzzles make us immediately leap to the wrong conclusion?
That’s the subject of Alex Bellos’ new book Think Twice, which has page after page of questions designed to deceive.
Alex sets Tim Harford some of his favourite puzzles.
Presenter: Tim HarfordSeries producer: Tom CollsProduction co-ordinator: Katie Morrison and Janet StaplesSound mix: Donald MacDonaldEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0jt6t4n,[]
2024-09-25,Could the winter fuel cut cost more than it saves?,"The government is encouraging pensioners to claim pension credit in order to remain eligible for winter fuel payments. Will people sign up - and might that end up costing the exchequer more than it saves?
The Office for National Statistics has downgraded the status of a new statistic aiming to measure how many people are transgender. What went wrong?
Cancer appears to be on the rise in people under 50. But are more people dying?
And try your hand at a puzzle you’re likely to get wrong.
Tim Harford investigates some of the numbers in the news.
Presenter: Tim HarfordProducers: Natasha Fernandes and Bethan Ashmead-LathamSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Sarah HockleyEditor: Richard Vadon",29 minutes,https://www.bbc.co.uk/programmes/p0jskzh8,[]
2024-09-21,Do 85% of the world’s population practice a religion?,"We don’t usually do god on More or Less, but one listener got in touch to ask us to investigate a stat used by an Anglican priest on a BBC radio programme.
Speaking on the “Thought for the Day” slot, Reverend Lucy Winkett said that around 85% of the world's population practice a religion.
Is this true? We speak to Conrad Hackett, from the Pew Research Center, and the person whose research is the source for the claim.
Presenter: Tim Harford Producer: Natasha Fernandes Series producer: Tom Colls Production co-ordinator: Katie MorrisonSound mix: Nigel AppletonEditor: Richard Vadon",10 minutes,https://www.bbc.co.uk/programmes/p0jrsdrd,['Anglican']
2024-09-18,How do you count millionaires?,"Can we be sure that thousands of millionaires are leaving the UK?How much do asylum seekers cost the state?Who will win a geeky bet on private school pupil numbers?What does a string quartet teach us about the woes of the National Health Service?
Tim Harford investigates some of the numbers in the news.
Presenter: Tim HarfordProducers: Caroline Bayley, Natasha Fernandes and Bethan Ashmead-LathamSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Sarah HockleyEditor: Richard Vadon",29 minutes,https://www.bbc.co.uk/programmes/p0jr54c5,[]
2024-09-14,Nate Silver: Do risk-takers run the world?,"Big stakes poker player and elections analyst Nate Silver is no stranger to a calculated risk.
In his new book, On The Edge, he makes the case that people willing to take massive calculated risks are winning in the modern economy.
Tim Harford talks to Nate about the mindset that’s driving hedge fund managers, crypto true-believers and silicon valley investors.
Presenter: Tim HarfordProducer: Beth Ashmead LathamSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Nigel AppletonEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0jqbjp5,[]
2024-09-11,How long does it take to turn around an oil tanker?,"Do illegal migrants receive more in benefits than pensioners?Was Energy Secretary Ed Miliband right to celebrate a “record breaking” renewable energy auction?Is one divided by zero infinity?Why don’t we spend more on evidence that government spending works?And how long does it actually take to turn around an oil tanker?
Tim Harford investigates some of the numbers in the news.
Presenter: Tim HarfordReporter: Charlotte McDonaldProducers: Natasha Fernandes, Bethan Ashmead-Latham and Nathan GowerSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Gareth JonesEditor: Richard Vadon",28 minutes,https://www.bbc.co.uk/programmes/p0jppsl2,['Charlotte']
2024-09-07,Who pays when trade wars heat up?,"Donald Trump wants new tariffs on goods coming into the US, describing them as a tax on other countries. The Democrats are no stranger to trade tariffs themselves, with Joe Biden having added them to numerous goods coming into the US from China.
We talk to Erica York from the Tax Foundation about how tariffs work and who ends up paying for them.
Presenter: Tim Harford Producers: Kate Lamble and Beth Ashmead Latham Series producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Steve GreenwoodEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0jnyyds,"['US', 'Democrats', 'US', 'China']"
2024-09-04,"Exclusions, black holes and dividing by zero","Do half of children in Wales have special educational needs?Are permanent exclusions at the highest ever level in England?Labour are talking about a £22bn black hole. Is that a new black hole in the finances?Are there more Ghanaian nurses in the UK than in Ghana?Can you divide one by zero?
Tim Harford looks at some of the numbers in the news.
Presenter: Tim HarfordReporters: Kate Lamble and Nathan GowerProducer: Beth Ashmead LathamSeries producer: Tom CollsProduction co-ordinator: Katie MorrisonSound mix: Andy FellEditor: Richard Vadon",29 minutes,https://www.bbc.co.uk/programmes/p0jn9df0,"['Wales', 'needs?Are', 'England?Labour', 'Ghanaian', 'UK']"
